device,m,Southern,s1783009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple_EarPods,m,NN,s1739009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple_headphones,m,NA,s1240595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple_headphones,m,NN,s1757126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple_headphones,m,NN,s1718204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple_headphones,m,NN,s1788803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Behringer_B1,m,SC,s1243195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big,m,GA,s1443906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big,m,IE,s1208647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big,m,NA,s1312747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big,m,NA,s1685899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big,m,NA,s1525891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big,m,NA,s1773886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big,m,NN,s1684093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big,m,NN,s1624468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big,m,NN,s1471720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big,m,NN,s1679421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big,m,NN,s1648755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big,m,NN,s1671540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big,m,NN,s1469488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big,m,NN,s1671123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big,m,NN,s1670238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big,m,NN,s1671513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big,m,NN,s1617188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big,m,NN,s1309096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big,m,NN,s1351989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big,m,NN,s1451772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big,m,NN,s1537176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big,m,NN,s1306782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
